Division,Bout_Type,Outcome,Outcome_Detailed,Year,Total_Strikes_Win_PerMin,Landed_Win_PerMin,Significant_Win_PerMin,Punch_Win_PerMin,Kick_Win_PerMin,Knee_Win_PerMin,Elbow_Win_PerMin,Head_Win_PerMin,Body_Win_PerMin,Legs_Win_PerMin,Standing_Win_PerMin,Clinch_Win_PerMin,Ground_Win_PerMin,Total_TD_Actions_Win_PerMin,TD_Landed_Win_PerMin,Sub_Att_Win_PerMin,Total_Strikes_Lose_PerMin,Landed_Lose_PerMin,Significant_Lose_PerMin,Punch_Lose_PerMin,Kick_Lose_PerMin,Knee_Lose_PerMin,Elbow_Lose_PerMin,Head_Lose_PerMin,Body_Lose_PerMin,Legs_Lose_PerMin,Standing_Lose_PerMin,Clinch_Lose_PerMin,Ground_Lose_PerMin,Total_TD_Actions_Lose_PerMin,TD_Landed_Lose_PerMin,Sub_Att_Lose_PerMin
Featherweight,Title,Decision,Decision,2020,11.08,7.52,6.88,3.68,3.12,0,0.08,3.6,0.32,2.96,6.64,0.16,0.08,0.44,0.12,0,10.84,5.92,5.24,2.44,2.56,0.24,0,2.8,1.04,1.4,4.92,0.32,0,0,0,0
Featherweight,Non_Title,Decision,Decision,2020,10.88,7.72,6.56,5.24,0.96,0.2,0.16,5.08,0.92,0.56,5.64,0.24,0.68,0.04,0.04,0,9.04,6.16,4.16,3.36,0.76,0.04,0,2.44,1.04,0.68,4.08,0.08,0,0.24,0.04,0
Featherweight,Non_Title,Decision,Decision,2020,8.24,6.88,6.08,3.44,2.36,0.04,0.24,3.36,1.28,1.44,5.68,0.12,0.28,0.4,0.12,0,6.44,5.08,3.8,2.84,0.92,0,0.04,2.6,0.68,0.52,3.8,0,0,0,0,0
Featherweight,Non_Title,Decision,Decision,2021,27.92,23.76,18.12,14.28,2.48,0.44,0.92,11.76,4.48,1.88,17.6,0.52,12.72,0.04,0,0,11.2,6.44,5.4,4.12,0.88,0.08,0.32,4.16,0.64,0.6,5.2,0.2,4.56,0.12,0,0
Featherweight,Non_Title,Decision,Decision,2021,9.44,8,4.76,4.12,0.44,0.04,0.16,4.2,0.16,0.4,4.04,0.04,0.68,0.2,0.16,0.2,9.12,6.8,4.32,2.96,0.76,0,0.6,2.8,1.08,0.44,3.32,0.32,0.68,0.28,0,0
Featherweight,Non_Title,Finish,KO/TKO,2021,10.91,9.12,7.08,4.01,2.73,0.17,0.17,4.69,1.45,0.94,6.73,0.34,5.46,0,0,0.09,7.84,4.94,3.92,2.47,1.45,0,0,1.96,1.11,0.85,3.92,0,2.98,0,0,0.09
Featherweight,Title,Decision,Decision,2021,14.16,10.88,9.48,6.68,2.36,0,0.44,6.64,1.08,1.76,6.44,0.2,2.84,0,0,0,8.56,4.44,3.72,2.8,0.72,0.04,0.2,2.72,0.72,0.32,3.28,0.32,0.16,0.12,0.04,0.16
Featherweight,Non_Title,Decision,Decision,2021,17.12,13.68,10.4,7.52,1.64,1,0.24,6.32,2.6,1.48,8.16,0.72,1.52,0.2,0.08,0.08,15,11.24,8.96,4.64,3.84,0.2,0.28,5.44,1.2,2.32,8.32,0.2,0.44,0.2,0.08,0.12
Featherweight,Non_Title,Decision,Decision,2022,19.24,14.36,11.68,8.96,0.92,0.12,1.68,10.36,1.16,0.12,11.04,0.08,0.52,0.28,0.08,0.04,14.96,11.24,8.84,7.4,1.32,0.04,0.08,7.12,1.32,0.4,8.68,0.16,0,0,0,0.04
Featherweight,Title,Decision,Decision,2022,14.4,10.16,9.32,7.64,1.28,0.24,0.16,7.28,0.92,1.12,8.4,0.92,8.64,0.12,0.04,0,11.16,6.56,4.84,2.36,1.72,0.68,0.08,2.52,1.72,0.6,4.08,0.76,3.88,0.12,0,0
Featherweight,Non_Title,Finish,KO/TKO,2022,21.29,18.42,8.37,5.26,2.15,0.96,0,6.22,0.24,1.91,7.18,0.96,0.24,0,0,0.24,10.29,9.09,7.18,4.07,0.24,2.87,0,5.02,0.72,1.44,4.31,2.87,0,0.96,0.24,0
Featherweight,Non_Title,Finish,KO/TKO,2022,11.7,8.38,7.6,6.04,1.56,0,0,5.46,1.17,0.97,7.02,0,0.58,0,0,0.19,10.92,5.85,4.09,2.73,0.97,0.19,0.19,2.73,0.97,0.39,4.09,0,0,0,0,0
